phi,theta,xValue,yValue,zValue,FILE
0,30,166,166,166,images/1.jpg
0,30,166,499,166,images/2.jpg
0,30,166,832,166,images/3.jpg
0,90,166,166,166,images/4.jpg
0,90,166,499,166,images/5.jpg
0,90,166,832,166,images/6.jpg
0,150,166,166,166,images/7.jpg
0,150,166,499,166,images/8.jpg
0,150,166,832,166,images/9.jpg
0,30,166,166,499,images/10.jpg
0,30,166,499,499,images/11.jpg
0,30,166,832,499,images/12.jpg
0,90,166,166,499,images/13.jpg
0,90,166,499,499,images/14.jpg
0,90,166,832,499,images/15.jpg
0,150,166,166,499,images/16.jpg
0,150,166,499,499,images/17.jpg
0,150,166,832,499,images/18.jpg
0,30,166,166,832,images/19.jpg
0,30,166,499,832,images/20.jpg
0,30,166,832,832,images/21.jpg
0,90,166,166,832,images/22.jpg
0,90,166,499,832,images/23.jpg
0,90,166,832,832,images/24.jpg
0,150,166,166,832,images/25.jpg
0,150,166,499,832,images/26.jpg
0,150,166,832,832,images/27.jpg
0,30,499,166,166,images/28.jpg
0,30,499,499,166,images/29.jpg
0,30,499,832,166,images/30.jpg
0,90,499,166,166,images/31.jpg
0,90,499,499,166,images/32.jpg
0,90,499,832,166,images/33.jpg
0,150,499,166,166,images/34.jpg
0,150,499,499,166,images/35.jpg
0,150,499,832,166,images/36.jpg
0,30,499,166,499,images/37.jpg
0,30,499,499,499,images/38.jpg
0,30,499,832,499,images/39.jpg
0,90,499,166,499,images/40.jpg
0,90,499,499,499,images/41.jpg
0,90,499,832,499,images/42.jpg
0,150,499,166,499,images/43.jpg
0,150,499,499,499,images/44.jpg
0,150,499,832,499,images/45.jpg
0,30,499,166,832,images/46.jpg
0,30,499,499,832,images/47.jpg
0,30,499,832,832,images/48.jpg
0,90,499,166,832,images/49.jpg
0,90,499,499,832,images/50.jpg
0,90,499,832,832,images/51.jpg
0,150,499,166,832,images/52.jpg
0,150,499,499,832,images/53.jpg
0,150,499,832,832,images/54.jpg
0,30,832,166,166,images/55.jpg
0,30,832,499,166,images/56.jpg
0,30,832,832,166,images/57.jpg
0,90,832,166,166,images/58.jpg
0,90,832,499,166,images/59.jpg
0,90,832,832,166,images/60.jpg
0,150,832,166,166,images/61.jpg
0,150,832,499,166,images/62.jpg
0,150,832,832,166,images/63.jpg
0,30,832,166,499,images/64.jpg
0,30,832,499,499,images/65.jpg
0,30,832,832,499,images/66.jpg
0,90,832,166,499,images/67.jpg
0,90,832,499,499,images/68.jpg
0,90,832,832,499,images/69.jpg
0,150,832,166,499,images/70.jpg
0,150,832,499,499,images/71.jpg
0,150,832,832,499,images/72.jpg
0,30,832,166,832,images/73.jpg
0,30,832,499,832,images/74.jpg
0,30,832,832,832,images/75.jpg
0,90,832,166,832,images/76.jpg
0,90,832,499,832,images/77.jpg
0,90,832,832,832,images/78.jpg
0,150,832,166,832,images/79.jpg
0,150,832,499,832,images/80.jpg
0,150,832,832,832,images/81.jpg
11,30,166,166,166,images/82.jpg
11,30,166,499,166,images/83.jpg
11,30,166,832,166,images/84.jpg
11,90,166,166,166,images/85.jpg
11,90,166,499,166,images/86.jpg
11,90,166,832,166,images/87.jpg
11,150,166,166,166,images/88.jpg
11,150,166,499,166,images/89.jpg
11,150,166,832,166,images/90.jpg
11,30,166,166,499,images/91.jpg
11,30,166,499,499,images/92.jpg
11,30,166,832,499,images/93.jpg
11,90,166,166,499,images/94.jpg
11,90,166,499,499,images/95.jpg
11,90,166,832,499,images/96.jpg
11,150,166,166,499,images/97.jpg
11,150,166,499,499,images/98.jpg
11,150,166,832,499,images/99.jpg
11,30,166,166,832,images/100.jpg
11,30,166,499,832,images/101.jpg
11,30,166,832,832,images/102.jpg
11,90,166,166,832,images/103.jpg
11,90,166,499,832,images/104.jpg
11,90,166,832,832,images/105.jpg
11,150,166,166,832,images/106.jpg
11,150,166,499,832,images/107.jpg
11,150,166,832,832,images/108.jpg
11,30,499,166,166,images/109.jpg
11,30,499,499,166,images/110.jpg
11,30,499,832,166,images/111.jpg
11,90,499,166,166,images/112.jpg
11,90,499,499,166,images/113.jpg
11,90,499,832,166,images/114.jpg
11,150,499,166,166,images/115.jpg
11,150,499,499,166,images/116.jpg
11,150,499,832,166,images/117.jpg
11,30,499,166,499,images/118.jpg
11,30,499,499,499,images/119.jpg
11,30,499,832,499,images/120.jpg
11,90,499,166,499,images/121.jpg
11,90,499,499,499,images/122.jpg
11,90,499,832,499,images/123.jpg
11,150,499,166,499,images/124.jpg
11,150,499,499,499,images/125.jpg
11,150,499,832,499,images/126.jpg
11,30,499,166,832,images/127.jpg
11,30,499,499,832,images/128.jpg
11,30,499,832,832,images/129.jpg
11,90,499,166,832,images/130.jpg
11,90,499,499,832,images/131.jpg
11,90,499,832,832,images/132.jpg
11,150,499,166,832,images/133.jpg
11,150,499,499,832,images/134.jpg
11,150,499,832,832,images/135.jpg
11,30,832,166,166,images/136.jpg
11,30,832,499,166,images/137.jpg
11,30,832,832,166,images/138.jpg
11,90,832,166,166,images/139.jpg
11,90,832,499,166,images/140.jpg
11,90,832,832,166,images/141.jpg
11,150,832,166,166,images/142.jpg
11,150,832,499,166,images/143.jpg
11,150,832,832,166,images/144.jpg
